Point,Time (s),Temperature (K),Amplitude (V),Phase (Degrees)
459,2.295420e+02,10.171643,1.919870e-04,8.376000
460,2.300410e+02,10.170528,1.920470e-04,8.370000
461,2.305410e+02,10.168053,1.919870e-04,8.376000
462,2.310430e+02,10.165063,1.920470e-04,8.382000
463,2.315360e+02,10.166945,1.919870e-04,8.388000
464,2.320410e+02,10.168438,1.920470e-04,8.382000
465,2.325380e+02,10.169715,1.920470e-04,8.382000
466,2.330420e+02,10.169550,1.919870e-04,8.376000
467,2.335370e+02,10.169044,1.919870e-04,8.376000
468,2.340380e+02,10.170141,1.919870e-04,8.376000
469,2.345380e+02,10.173436,1.919870e-04,8.376000
470,2.350410e+02,10.176886,1.919870e-04,8.376000
471,2.355380e+02,10.173454,1.919870e-04,8.376000
472,2.360370e+02,10.172521,1.919870e-04,8.376000
473,2.365370e+02,10.174317,1.920470e-04,8.376000
474,2.370410e+02,10.170255,1.920470e-04,8.382000
475,2.375420e+02,10.172718,1.920470e-04,8.382000
476,2.380420e+02,10.176811,1.920470e-04,8.382000
477,2.385410e+02,10.178335,1.920470e-04,8.382000
478,2.390410e+02,10.178950,1.920470e-04,8.382000
479,2.395370e+02,10.176866,1.920470e-04,8.382000
480,2.400410e+02,10.176677,1.919870e-04,8.376000
481,2.405420e+02,10.176966,1.920470e-04,8.382000
482,2.410500e+02,10.179209,1.920470e-04,8.382000
483,2.415400e+02,10.181337,1.920470e-04,8.382000
484,2.420410e+02,10.184997,1.920470e-04,8.382000
485,2.425370e+02,10.179291,1.920470e-04,8.382000
486,2.430360e+02,10.181322,1.920470e-04,8.382000
487,2.435370e+02,10.185130,1.919870e-04,8.376000
488,2.440390e+02,10.184102,1.919870e-04,8.376000
489,2.445410e+02,10.186270,1.920470e-04,8.382000
490,2.450380e+02,10.182787,1.920470e-04,8.382000
491,2.455430e+02,10.183353,1.920470e-04,8.382000
492,2.460420e+02,10.181170,1.920470e-04,8.382000
493,2.465420e+02,10.181409,1.920470e-04,8.382000
